WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
14167	Big Slough	STORET_21FLMANA	="BL01"	 BL01	="BL01"	27.20999910	-82.11999990	1976	6/12/2001 12:00:00 AM		m	TN_ugl	Nitrogen		3310	ug/l	""	Water Institute Calculated		
14167	Big Slough	STORET_21FLMANA	="BL01"	 BL01	="BL01"	27.20999910	-82.11999990	1976	7/10/2001 12:00:00 AM		m	TN_ugl	Nitrogen		1629	ug/l	""	Water Institute Calculated		
14167	Big Slough	STORET_21FLMANA	="BL01"	 BL01	="BL01"	27.20999910	-82.11999990	1976	7/30/2001 12:00:00 AM		m	TN_ugl	Nitrogen		2536	ug/l	""	Water Institute Calculated		
14167	Big Slough	STORET_21FLMANA	="BL01"	 BL01	="BL01"	27.20999910	-82.11999990	1976	8/21/2001 12:00:00 AM		m	TN_ugl	Nitrogen		1864	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	1/13/2011 12:00:00 AM		m	TN_ugl	Nitrogen		1120	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	3/22/2011 12:00:00 AM		m	TN_ugl	Nitrogen		1170	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	4/19/2011 12:00:00 AM		m	TN_ugl	Nitrogen		720	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	5/18/2011 12:00:00 AM		m	TN_ugl	Nitrogen		970	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	6/15/2011 12:00:00 AM		m	TN_ugl	Nitrogen		1050	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	7/28/2011 12:00:00 AM		m	TN_ugl	Nitrogen		1150	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	8/31/2011 12:00:00 AM		m	TN_ugl	Nitrogen		1880	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	9/28/2011 12:00:00 AM		m	TN_ugl	Nitrogen		1230	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	10/6/2011 12:00:00 AM		m	TN_ugl	Nitrogen		860	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	11/8/2011 12:00:00 AM		m	TN_ugl	Nitrogen		770	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	12/13/2011 12:00:00 AM		m	TN_ugl	Nitrogen		830	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	1/18/2012 12:00:00 AM		m	TN_ugl	Nitrogen		560	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	2/22/2012 12:00:00 AM		m	TN_ugl	Nitrogen		540	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	3/14/2012 12:00:00 AM		m	TN_ugl	Nitrogen		820	ug/l	""	Water Institute Calculated		
